wojewodztwo;rok;bezrobocie
DOLNOŚLĄSKIE;2014;121562
KUJAWSKO-POMORSKIE;2014;127111
LUBELSKIE;2014;116869
LUBUSKIE;2014;47115
ŁÓDZKIE;2014;126157
MAŁOPOLSKIE;2014;139027
MAZOWIECKIE;2014;249777
OPOLSKIE;2014;42361
PODKARPACKIE;2014;137932
PODLASKIE;2014;60394
POMORSKIE;2014;96752
ŚLĄSKIE;2014;175675
ŚWIĘTOKRZYSKIE;2014;75434
WARMIŃSKO-MAZURSKIE;2014;98139
WIELKOPOLSKIE;2014;116410
ZACHODNIOPOMORSKIE;2014;94465
DOLNOŚLĄSKIE;2015;99952
KUJAWSKO-POMORSKIE;2015;107255
LUBELSKIE;2015;107895
LUBUSKIE;2015;39348
ŁÓDZKIE;2015;109510
MAŁOPOLSKIE;2015;119601
MAZOWIECKIE;2015;216527
OPOLSKIE;2015;36203
PODKARPACKIE;2015;123514
PODLASKIE;2015;55019
POMORSKIE;2015;77662
ŚLĄSKIE;2015;148508
ŚWIĘTOKRZYSKIE;2015;66131
WARMIŃSKO-MAZURSKIE;2015;83510
WIELKOPOLSKIE;2015;93311
ZACHODNIOPOMORSKIE;2015;79393
DOLNOŚLĄSKIE;2016;85984
KUJAWSKO-POMORSKIE;2016;98522
LUBELSKIE;2016;95596
LUBUSKIE;2016;32367
ŁÓDZKIE;2016;91041
MAŁOPOLSKIE;2016;96531
MAZOWIECKIE;2016;188910
OPOLSKIE;2016;32419
PODKARPACKIE;2016;107567
PODLASKIE;2016;48361
POMORSKIE;2016;64132
ŚLĄSKIE;2016;119981
ŚWIĘTOKRZYSKIE;2016;57126
WARMIŃSKO-MAZURSKIE;2016;73079
WIELKOPOLSKIE;2016;77697
ZACHODNIOPOMORSKIE;2016;65842
DOLNOŚLĄSKIE;2017;68813
KUJAWSKO-POMORSKIE;2017;81543
LUBELSKIE;2017;81221
LUBUSKIE;2017;24605
ŁÓDZKIE;2017;72662
MAŁOPOLSKIE;2017;79430
MAZOWIECKIE;2017;154068
OPOLSKIE;2017;26066
PODKARPACKIE;2017;90972
PODLASKIE;2017;39997
POMORSKIE;2017;49653
ŚLĄSKIE;2017;94687
ŚWIĘTOKRZYSKIE;2017;46570
WARMIŃSKO-MAZURSKIE;2017;60003
WIELKOPOLSKIE;2017;58857
ZACHODNIOPOMORSKIE;2017;52599
DOLNOŚLĄSKIE;2018;62842
KUJAWSKO-POMORSKIE;2018;72655
LUBELSKIE;2018;74449
LUBUSKIE;2018;22201
ŁÓDZKIE;2018;66036
MAŁOPOLSKIE;2018;71489
MAZOWIECKIE;2018;136545
OPOLSKIE;2018;22663
PODKARPACKIE;2018;82933
PODLASKIE;2018;36786
POMORSKIE;2018;46082
ŚLĄSKIE;2018;80079
ŚWIĘTOKRZYSKIE;2018;44118
WARMIŃSKO-MAZURSKIE;2018;53141
WIELKOPOLSKIE;2018;50867
ZACHODNIOPOMORSKIE;2018;46002
DOLNOŚLĄSKIE;2019;56022
KUJAWSKO-POMORSKIE;2019;64060
LUBELSKIE;2019;69379
LUBUSKIE;2019;18498
ŁÓDZKIE;2019;58722
MAŁOPOLSKIE;2019;62610
MAZOWIECKIE;2019;123208
OPOLSKIE;2019;20948
PODKARPACKIE;2019;75455
PODLASKIE;2019;33277
POMORSKIE;2019;41817
ŚLĄSKIE;2019;66521
ŚWIĘTOKRZYSKIE;2019;42042
WARMIŃSKO-MAZURSKIE;2019;45731
WIELKOPOLSKIE;2019;46313
ZACHODNIOPOMORSKIE;2019;41771
DOLNOŚLĄSKIE;2020;68822
KUJAWSKO-POMORSKIE;2020;73482
LUBELSKIE;2020;76505
LUBUSKIE;2020;23674
ŁÓDZKIE;2020;67812
MAŁOPOLSKIE;2020;83050
MAZOWIECKIE;2020;146375
OPOLSKIE;2020;24976
PODKARPACKIE;2020;87326
PODLASKIE;2020;37830
POMORSKIE;2020;56216
ŚLĄSKIE;2020;91032
ŚWIĘTOKRZYSKIE;2020;44881
WARMIŃSKO-MAZURSKIE;2020;51475
WIELKOPOLSKIE;2020;60958
ZACHODNIOPOMORSKIE;2020;52018
DOLNOŚLĄSKIE;2021;58738
KUJAWSKO-POMORSKIE;2021;61861
LUBELSKIE;2021;66244
LUBUSKIE;2021;18158
ŁÓDZKIE;2021;60902
MAŁOPOLSKIE;2021;69948
MAZOWIECKIE;2021;129248
OPOLSKIE;2021;21535
PODKARPACKIE;2021;77291
PODLASKIE;2021;33374
POMORSKIE;2021;47682
ŚLĄSKIE;2021;76324
ŚWIĘTOKRZYSKIE;2021;38035
WARMIŃSKO-MAZURSKIE;2021;42567
WIELKOPOLSKIE;2021;49850
ZACHODNIOPOMORSKIE;2021;43446
DOLNOŚLĄSKIE;2022;53952
KUJAWSKO-POMORSKIE;2022;56484
LUBELSKIE;2022;61254
LUBUSKIE;2022;15725
ŁÓDZKIE;2022;54397
MAŁOPOLSKIE;2022;64379
MAZOWIECKIE;2022;116520
OPOLSKIE;2022;20524
PODKARPACKIE;2022;69046
PODLASKIE;2022;31185
POMORSKIE;2022;42401
ŚLĄSKIE;2022;64903
ŚWIĘTOKRZYSKIE;2022;34029
WARMIŃSKO-MAZURSKIE;2022;41069
WIELKOPOLSKIE;2022;46289
ZACHODNIOPOMORSKIE;2022;40144;
